epoch,train_mse_pca,val_mse_pca
1,262.98802973443117,256.08694171457785
2,192.53089570560735,263.0187147256914
3,168.96378042394028,262.28527989633767
4,151.13401855776843,270.1999736660523
5,137.71193484905842,270.52815869828345
6,127.08947410191504,274.19368632858345
