variavel,metodo,n_components,rmse_reconstrucao_treino,rmse_reconstrucao_validacao,gap_val_menos_treino,tempo_fit_s
tp,PCA,10,0.3814140856266022,0.4073423445224762,0.025928258895874023,1.7349011898040771
tp,ICA,10,0.3814140856266022,0.40734073519706726,0.025926649570465088,9.536916494369507
tp,SparsePCA,10,0.39218682050704956,0.4115792214870453,0.019392400979995728,44.49350142478943
tp,PCA,15,0.3504718244075775,0.38561081886291504,0.035138994455337524,1.8894107341766357
tp,ICA,15,0.3504717946052551,0.3856094181537628,0.03513762354850769,9.765424013137817
tp,SparsePCA,15,0.3686882555484772,0.3980669379234314,0.029378682374954224,56.97485852241516
tp,PCA,20,0.32922738790512085,0.36627230048179626,0.037044912576675415,2.9803507328033447
tp,ICA,20,0.32922714948654175,0.366279661655426,0.03705251216888428,31.703604459762573
tp,SparsePCA,20,0.3507674038410187,0.38036084175109863,0.029593437910079956,72.72172927856445
tp,PCA,30,0.2994592785835266,0.34155938029289246,0.042100101709365845,3.8766396045684814
tp,ICA,30,0.2994554042816162,0.34160780906677246,0.04215240478515625,65.55689072608948
tp,SparsePCA,30,0.32942190766334534,0.36017367243766785,0.03075176477432251,80.77648973464966
tp,PCA,40,0.2789340913295746,0.3248765170574188,0.04594242572784424,4.423759937286377
tp,ICA,40,0.27892664074897766,0.3248644173145294,0.04593777656555176,36.54950976371765
tp,SparsePCA,40,0.31099849939346313,0.3425918519496918,0.03159335255622864,88.50465250015259
tp,PCA,60,0.25083938241004944,0.3035850524902344,0.052745670080184937,5.894594192504883
tp,ICA,60,0.250735342502594,0.30348867177963257,0.052753329277038574,68.39519166946411
tp,SparsePCA,60,0.2912731170654297,0.3250541388988495,0.0337810218334198,103.53894400596619
geopotential_850,PLS,10,0.0490431230339736,0.04860371882928266,-0.00043940420469094216,30.760971069335938
geopotential_850,CCA,10,0.22137747402528926,0.21863567331624117,-0.0027418007090480867,582.5865273475647
geopotential_850,PLS,15,0.034709146604371396,0.03316549806701154,-0.0015436485373598596,37.118611574172974
geopotential_850,CCA,15,0.21465901137424684,0.2073621395422624,-0.007296871831984436,489.4368464946747
geopotential_850,PLS,20,0.02492373542963892,0.024410082085531946,-0.0005136533441069749,58.73897862434387
geopotential_850,CCA,20,0.21144693571928555,0.20065230280101162,-0.010794632918273928,657.1062119007111
geopotential_850,PLS,30,0.017656531601309686,0.017951603553893344,0.0002950719525836587,93.08995866775513
geopotential_850,CCA,30,0.20899253183915276,0.19812918641649588,-0.010863345422656878,977.057596206665
geopotential_850,PLS,40,0.013461102590550495,0.01388011440773656,0.0004190118171860657,144.88200855255127
geopotential_850,CCA,40,0.20795594239445847,0.1962151988409887,-0.011740743553469768,1312.462891817093
geopotential_850,PLS,60,0.009107235477370046,0.01003552876573631,0.0009282932883662633,247.1145408153534
geopotential_850,CCA,60,0.20688273464110316,0.19467290316369074,-0.01220983147741242,1959.0389788150787
