epoch,train_mse_pca,val_mse_pca
1,491.8170512002432,247.1194808368535
2,265.46767504514,245.85826567420665
3,236.0731578598287,249.13536902139353
4,217.95980167625092,254.11728338197221
5,204.22091270473229,257.385631851078
6,193.03843057905465,264.66453483640686
7,183.365787243477,267.77617012437923
