epoch,train_mse_pca,val_mse_pca
1,197.45740466288913,144.12384620630687
2,127.9176148641787,147.00792332322385
3,117.83199067060048,150.55996052200246
4,112.5692024922861,149.84252421061197
5,109.44243592612449,148.99912064959744
6,106.69232525838954,149.6022714964101
