epoch,train_mse_pca,val_mse_pca
1,155.384615268023,144.90316378454648
2,114.5430011725198,147.27578190906507
3,103.02331294432318,153.16522997645706
4,94.73693430357115,156.40924093756877
5,88.83663346252936,158.48699191814296
6,84.38150099924025,158.69232757998185
